recording_id,segment_id,signer_id,split,length_bucket,estimated_duration_seconds,session_id,recording_date,take_number,status,actual_duration_seconds,q_motion_blur_ok,q_framing_full_signing_space,q_fps_ge_25,q_lighting_ok,q_resolution_ge_1080p,video_path,notes
VSL_SEG_000023,gf2_congviec_002,SIGNER_01,train,hard,107,,,,pending,,,,,,,,
VSL_SEG_000024,gf2_congviec_003,SIGNER_08,train,hard,96,,,,pending,,,,,,,,
VSL_SEG_000025,r2_congviec_002,SIGNER_07,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000026,r2_congviec_003,SIGNER_03,train,standard,62,,,,pending,,,,,,,,
VSL_SEG_000027,r2_congviec_004,SIGNER_08,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000028,r2_congviec_005,SIGNER_03,train,hard,79,,,,pending,,,,,,,,
VSL_SEG_000029,r2_congviec_006,SIGNER_05,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000030,r2_congviec_009,SIGNER_05,train,standard,66,,,,pending,,,,,,,,
VSL_SEG_000031,r2_congviec_012,SIGNER_07,train,standard,64,,,,pending,,,,,,,,
VSL_SEG_000032,r3_congviec_001,SIGNER_04,train,hard,100,,,,pending,,,,,,,,
VSL_SEG_000033,r3_congviec_002,SIGNER_03,train,hard,106,,,,pending,,,,,,,,
VSL_SEG_000034,r3_congviec_003,SIGNER_05,train,standard,74,,,,pending,,,,,,,,
VSL_SEG_000035,r3_congviec_004,SIGNER_03,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000036,r3_congviec_005,SIGNER_05,train,hard,98,,,,pending,,,,,,,,
VSL_SEG_000037,r3_congviec_006,SIGNER_06,train,hard,94,,,,pending,,,,,,,,
VSL_SEG_000038,r3_congviec_007,SIGNER_04,train,hard,113,,,,pending,,,,,,,,
VSL_SEG_000039,r3_congviec_008,SIGNER_03,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000040,r3_congviec_009,SIGNER_03,train,hard,86,,,,pending,,,,,,,,
VSL_SEG_000041,r3_congviec_010,SIGNER_04,train,hard,86,,,,pending,,,,,,,,
VSL_SEG_000042,r3_congviec_011,SIGNER_06,train,hard,82,,,,pending,,,,,,,,
VSL_SEG_000043,r3_congviec_012,SIGNER_01,train,hard,98,,,,pending,,,,,,,,
VSL_SEG_000044,r4_congviec_001,SIGNER_02,train,hard,101,,,,pending,,,,,,,,
VSL_SEG_000045,r4_congviec_003,SIGNER_02,train,hard,96,,,,pending,,,,,,,,
VSL_SEG_000046,r4_congviec_004,SIGNER_03,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000047,r4_congviec_005,SIGNER_08,train,hard,99,,,,pending,,,,,,,,
VSL_SEG_000048,d01113,SIGNER_01,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000049,d01126,SIGNER_05,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000050,d01211,SIGNER_07,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000051,d01225,SIGNER_08,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000052,r2_dulich_001,SIGNER_06,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000053,r2_dulich_002,SIGNER_06,train,standard,61,,,,pending,,,,,,,,
VSL_SEG_000054,r2_dulich_003,SIGNER_02,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000055,r2_dulich_004,SIGNER_05,train,standard,71,,,,pending,,,,,,,,
VSL_SEG_000056,r2_dulich_005,SIGNER_01,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000057,r2_dulich_007,SIGNER_04,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000058,r2_dulich_008,SIGNER_03,train,standard,57,,,,pending,,,,,,,,
VSL_SEG_000059,r2_dulich_010,SIGNER_05,train,standard,66,,,,pending,,,,,,,,
VSL_SEG_000060,r2_dulich_012,SIGNER_08,train,standard,69,,,,pending,,,,,,,,
VSL_SEG_000061,r3_dulich_001,SIGNER_04,train,hard,97,,,,pending,,,,,,,,
VSL_SEG_000062,r3_dulich_002,SIGNER_01,train,hard,109,,,,pending,,,,,,,,
VSL_SEG_000063,r3_dulich_003,SIGNER_03,train,standard,73,,,,pending,,,,,,,,
VSL_SEG_000064,r3_dulich_004,SIGNER_05,train,standard,68,,,,pending,,,,,,,,
VSL_SEG_000065,r3_dulich_005,SIGNER_07,train,hard,87,,,,pending,,,,,,,,
VSL_SEG_000066,r3_dulich_006,SIGNER_08,train,hard,94,,,,pending,,,,,,,,
VSL_SEG_000067,r3_dulich_007,SIGNER_07,train,hard,85,,,,pending,,,,,,,,
VSL_SEG_000068,r3_dulich_008,SIGNER_04,train,hard,98,,,,pending,,,,,,,,
VSL_SEG_000069,r3_dulich_009,SIGNER_01,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000070,r3_dulich_010,SIGNER_08,train,hard,94,,,,pending,,,,,,,,
VSL_SEG_000071,r3_dulich_011,SIGNER_01,train,hard,79,,,,pending,,,,,,,,
VSL_SEG_000072,r3_dulich_012,SIGNER_04,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000073,r4_dulich_001,SIGNER_02,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000074,r4_dulich_002,SIGNER_05,train,hard,107,,,,pending,,,,,,,,
VSL_SEG_000075,r4_dulich_003,SIGNER_07,train,hard,105,,,,pending,,,,,,,,
VSL_SEG_000076,r4_dulich_005,SIGNER_07,train,hard,92,,,,pending,,,,,,,,
VSL_SEG_000077,r4_dulich_006,SIGNER_08,train,hard,92,,,,pending,,,,,,,,
VSL_SEG_000078,d00337,SIGNER_06,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000079,d00341,SIGNER_07,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000080,d00342,SIGNER_04,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000081,d00343,SIGNER_02,train,standard,64,,,,pending,,,,,,,,
VSL_SEG_000082,d00344,SIGNER_03,train,standard,62,,,,pending,,,,,,,,
VSL_SEG_000083,d00345,SIGNER_08,train,standard,62,,,,pending,,,,,,,,
VSL_SEG_000084,d00346,SIGNER_05,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000085,d00347,SIGNER_02,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000086,d00349,SIGNER_05,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000087,d00351,SIGNER_03,train,standard,61,,,,pending,,,,,,,,
VSL_SEG_000088,d00352,SIGNER_05,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000089,d00353,SIGNER_04,train,standard,57,,,,pending,,,,,,,,
VSL_SEG_000090,d00360,SIGNER_07,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000091,d00361,SIGNER_03,train,standard,67,,,,pending,,,,,,,,
VSL_SEG_000092,d00363,SIGNER_06,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000093,d00364,SIGNER_03,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000094,d00365,SIGNER_05,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000095,d00366,SIGNER_05,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000096,d00369,SIGNER_04,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000097,d00371,SIGNER_01,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000098,d00373,SIGNER_06,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000099,d00377,SIGNER_03,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000100,r2_giadinh_001,SIGNER_02,train,standard,59,,,,pending,,,,,,,,
VSL_SEG_000101,r2_giadinh_002,SIGNER_02,train,standard,61,,,,pending,,,,,,,,
VSL_SEG_000102,r2_giadinh_003,SIGNER_02,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000103,r2_giadinh_004,SIGNER_06,train,standard,66,,,,pending,,,,,,,,
VSL_SEG_000104,r2_giadinh_005,SIGNER_05,train,hard,92,,,,pending,,,,,,,,
VSL_SEG_000105,r2_giadinh_006,SIGNER_04,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000106,r2_giadinh_007,SIGNER_07,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000107,r2_giadinh_011,SIGNER_01,train,standard,74,,,,pending,,,,,,,,
VSL_SEG_000108,r2_giadinh_012,SIGNER_04,train,hard,78,,,,pending,,,,,,,,
VSL_SEG_000109,r3_giadinh_001,SIGNER_02,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000110,r3_giadinh_002,SIGNER_01,train,hard,110,,,,pending,,,,,,,,
VSL_SEG_000111,r3_giadinh_003,SIGNER_07,train,hard,83,,,,pending,,,,,,,,
VSL_SEG_000112,r3_giadinh_004,SIGNER_04,train,hard,92,,,,pending,,,,,,,,
VSL_SEG_000113,r3_giadinh_005,SIGNER_08,train,hard,95,,,,pending,,,,,,,,
VSL_SEG_000114,r3_giadinh_006,SIGNER_07,train,hard,91,,,,pending,,,,,,,,
VSL_SEG_000115,r3_giadinh_009,SIGNER_04,train,hard,78,,,,pending,,,,,,,,
VSL_SEG_000116,r3_giadinh_010,SIGNER_02,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000117,r3_giadinh_011,SIGNER_08,train,hard,85,,,,pending,,,,,,,,
VSL_SEG_000118,r3_giadinh_012,SIGNER_03,train,hard,87,,,,pending,,,,,,,,
VSL_SEG_000119,r4_giadinh_001,SIGNER_05,train,hard,98,,,,pending,,,,,,,,
VSL_SEG_000120,r4_giadinh_002,SIGNER_05,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000121,r4_giadinh_003,SIGNER_05,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000122,r4_giadinh_004,SIGNER_01,train,hard,94,,,,pending,,,,,,,,
VSL_SEG_000123,r4_giadinh_005,SIGNER_04,train,hard,87,,,,pending,,,,,,,,
VSL_SEG_000124,r4_giadinh_006,SIGNER_03,train,hard,101,,,,pending,,,,,,,,
VSL_SEG_000125,d00314,SIGNER_06,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000126,r2_giaotiep_001,SIGNER_01,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000127,r2_giaotiep_002,SIGNER_08,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000128,r2_giaotiep_003,SIGNER_04,train,standard,63,,,,pending,,,,,,,,
VSL_SEG_000129,r2_giaotiep_005,SIGNER_05,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000130,r2_giaotiep_006,SIGNER_05,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000131,r2_giaotiep_007,SIGNER_05,train,standard,57,,,,pending,,,,,,,,
VSL_SEG_000132,r2_giaotiep_008,SIGNER_07,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000133,r2_giaotiep_009,SIGNER_08,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000134,r2_giaotiep_010,SIGNER_01,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000135,r2_giaotiep_011,SIGNER_06,train,hard,77,,,,pending,,,,,,,,
VSL_SEG_000136,r2_giaotiep_012,SIGNER_05,train,standard,72,,,,pending,,,,,,,,
VSL_SEG_000137,r3_giaotiep_001,SIGNER_07,train,hard,98,,,,pending,,,,,,,,
VSL_SEG_000138,r3_giaotiep_002,SIGNER_03,train,hard,117,,,,pending,,,,,,,,
VSL_SEG_000139,r3_giaotiep_003,SIGNER_05,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000140,r3_giaotiep_005,SIGNER_04,train,hard,94,,,,pending,,,,,,,,
VSL_SEG_000141,r3_giaotiep_006,SIGNER_03,train,hard,92,,,,pending,,,,,,,,
VSL_SEG_000142,r3_giaotiep_009,SIGNER_07,train,hard,100,,,,pending,,,,,,,,
VSL_SEG_000143,r3_giaotiep_011,SIGNER_08,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000144,r3_giaotiep_012,SIGNER_01,train,hard,99,,,,pending,,,,,,,,
VSL_SEG_000145,r4_giaotiep_001,SIGNER_02,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000146,r4_giaotiep_002,SIGNER_06,train,hard,86,,,,pending,,,,,,,,
VSL_SEG_000147,r4_giaotiep_003,SIGNER_02,train,hard,101,,,,pending,,,,,,,,
VSL_SEG_000148,r4_giaotiep_004,SIGNER_07,train,hard,102,,,,pending,,,,,,,,
VSL_SEG_000149,r4_giaotiep_005,SIGNER_01,train,hard,93,,,,pending,,,,,,,,
VSL_SEG_000150,r4_giaotiep_006,SIGNER_07,train,hard,96,,,,pending,,,,,,,,
VSL_SEG_000151,r4b_giaotiep_001,SIGNER_08,train,hard,99,,,,pending,,,,,,,,
VSL_SEG_000152,r2_giaitri_001,SIGNER_06,train,standard,59,,,,pending,,,,,,,,
VSL_SEG_000153,r2_giaitri_002,SIGNER_02,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000154,r2_giaitri_003,SIGNER_03,train,standard,60,,,,pending,,,,,,,,
VSL_SEG_000155,r2_giaitri_004,SIGNER_06,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000156,r2_giaitri_005,SIGNER_07,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000157,r2_giaitri_006,SIGNER_03,train,hard,85,,,,pending,,,,,,,,
VSL_SEG_000158,r2_giaitri_007,SIGNER_08,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000159,r2_giaitri_008,SIGNER_07,train,standard,62,,,,pending,,,,,,,,
VSL_SEG_000160,r2_giaitri_009,SIGNER_07,train,standard,72,,,,pending,,,,,,,,
VSL_SEG_000161,r2_giaitri_010,SIGNER_07,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000162,r2_giaitri_012,SIGNER_02,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000163,r3_giaitri_001,SIGNER_07,train,hard,108,,,,pending,,,,,,,,
VSL_SEG_000164,r3_giaitri_002,SIGNER_01,train,hard,100,,,,pending,,,,,,,,
VSL_SEG_000165,r3_giaitri_004,SIGNER_08,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000166,r3_giaitri_005,SIGNER_06,train,hard,82,,,,pending,,,,,,,,
VSL_SEG_000167,r3_giaitri_006,SIGNER_06,train,hard,108,,,,pending,,,,,,,,
VSL_SEG_000168,r3_giaitri_007,SIGNER_08,train,hard,94,,,,pending,,,,,,,,
VSL_SEG_000169,r3_giaitri_008,SIGNER_01,train,hard,79,,,,pending,,,,,,,,
VSL_SEG_000170,r3_giaitri_009,SIGNER_03,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000171,r3_giaitri_011,SIGNER_01,train,hard,106,,,,pending,,,,,,,,
VSL_SEG_000172,r3_giaitri_012,SIGNER_05,train,hard,94,,,,pending,,,,,,,,
VSL_SEG_000173,r4_giaitri_002,SIGNER_06,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000174,r4_giaitri_003,SIGNER_01,train,hard,84,,,,pending,,,,,,,,
VSL_SEG_000175,r4_giaitri_004,SIGNER_03,train,hard,106,,,,pending,,,,,,,,
VSL_SEG_000176,r4_giaitri_005,SIGNER_04,train,hard,83,,,,pending,,,,,,,,
VSL_SEG_000177,r4_giaitri_006,SIGNER_06,train,hard,90,,,,pending,,,,,,,,
VSL_SEG_000178,d00506,SIGNER_06,train,standard,67,,,,pending,,,,,,,,
VSL_SEG_000179,d00507,SIGNER_03,train,standard,64,,,,pending,,,,,,,,
VSL_SEG_000180,d00509,SIGNER_03,train,standard,66,,,,pending,,,,,,,,
VSL_SEG_000181,d00510,SIGNER_03,train,standard,65,,,,pending,,,,,,,,
VSL_SEG_000182,d00511,SIGNER_07,train,standard,62,,,,pending,,,,,,,,
VSL_SEG_000183,d00513,SIGNER_02,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000184,d00514,SIGNER_06,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000185,d00515,SIGNER_08,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000186,d00516,SIGNER_08,train,standard,59,,,,pending,,,,,,,,
VSL_SEG_000187,d00518,SIGNER_04,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000188,d00519,SIGNER_01,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000189,gf2_hocduong_001,SIGNER_06,train,hard,94,,,,pending,,,,,,,,
VSL_SEG_000190,gf2_hocduong_002,SIGNER_04,train,hard,89,,,,pending,,,,,,,,
VSL_SEG_000191,gf2_hocduong_003,SIGNER_08,train,hard,83,,,,pending,,,,,,,,
VSL_SEG_000192,r2_hocduong_002,SIGNER_07,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000193,r2_hocduong_003,SIGNER_06,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000194,r2_hocduong_004,SIGNER_02,train,standard,60,,,,pending,,,,,,,,
VSL_SEG_000195,r2_hocduong_005,SIGNER_02,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000196,r2_hocduong_008,SIGNER_06,train,standard,60,,,,pending,,,,,,,,
VSL_SEG_000197,r2_hocduong_009,SIGNER_01,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000198,r2_hocduong_010,SIGNER_03,train,standard,60,,,,pending,,,,,,,,
VSL_SEG_000199,r2_hocduong_012,SIGNER_02,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000200,r3_hocduong_001,SIGNER_06,train,hard,78,,,,pending,,,,,,,,
VSL_SEG_000201,r3_hocduong_003,SIGNER_08,train,hard,89,,,,pending,,,,,,,,
VSL_SEG_000202,r3_hocduong_004,SIGNER_04,train,hard,112,,,,pending,,,,,,,,
VSL_SEG_000203,r3_hocduong_005,SIGNER_05,train,hard,90,,,,pending,,,,,,,,
VSL_SEG_000204,r3_hocduong_006,SIGNER_05,train,hard,79,,,,pending,,,,,,,,
VSL_SEG_000205,r3_hocduong_007,SIGNER_03,train,hard,100,,,,pending,,,,,,,,
VSL_SEG_000206,r3_hocduong_008,SIGNER_07,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000207,r3_hocduong_009,SIGNER_03,train,hard,86,,,,pending,,,,,,,,
VSL_SEG_000208,r3_hocduong_010,SIGNER_04,train,hard,87,,,,pending,,,,,,,,
VSL_SEG_000209,r3_hocduong_011,SIGNER_05,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000210,r3_hocduong_012,SIGNER_05,train,hard,81,,,,pending,,,,,,,,
VSL_SEG_000211,r4_hocduong_001,SIGNER_07,train,hard,93,,,,pending,,,,,,,,
VSL_SEG_000212,r4_hocduong_002,SIGNER_06,train,hard,112,,,,pending,,,,,,,,
VSL_SEG_000213,r4_hocduong_003,SIGNER_03,train,hard,92,,,,pending,,,,,,,,
VSL_SEG_000214,r4_hocduong_004,SIGNER_03,train,hard,92,,,,pending,,,,,,,,
VSL_SEG_000215,r4_hocduong_006,SIGNER_05,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000216,d01265,SIGNER_04,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000217,d01266,SIGNER_03,train,standard,73,,,,pending,,,,,,,,
VSL_SEG_000218,d01267,SIGNER_05,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000219,d01268,SIGNER_01,train,hard,81,,,,pending,,,,,,,,
VSL_SEG_000220,d01269,SIGNER_07,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000221,d01270,SIGNER_03,train,standard,68,,,,pending,,,,,,,,
VSL_SEG_000222,d01271,SIGNER_07,train,hard,79,,,,pending,,,,,,,,
VSL_SEG_000223,d01272,SIGNER_03,train,hard,82,,,,pending,,,,,,,,
VSL_SEG_000224,d01273,SIGNER_01,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000225,d01274,SIGNER_03,train,standard,74,,,,pending,,,,,,,,
VSL_SEG_000226,d01275,SIGNER_02,train,standard,63,,,,pending,,,,,,,,
VSL_SEG_000227,d01276,SIGNER_06,train,standard,68,,,,pending,,,,,,,,
VSL_SEG_000228,d01277,SIGNER_02,train,standard,71,,,,pending,,,,,,,,
VSL_SEG_000229,d01278,SIGNER_08,train,standard,73,,,,pending,,,,,,,,
VSL_SEG_000230,d01279,SIGNER_01,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000231,d01280,SIGNER_01,train,hard,78,,,,pending,,,,,,,,
VSL_SEG_000232,d01283,SIGNER_07,train,standard,71,,,,pending,,,,,,,,
VSL_SEG_000233,d01284,SIGNER_03,train,hard,82,,,,pending,,,,,,,,
VSL_SEG_000234,d01286,SIGNER_04,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000235,d01288,SIGNER_04,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000236,d01289,SIGNER_04,train,standard,69,,,,pending,,,,,,,,
VSL_SEG_000237,d01290,SIGNER_03,train,standard,68,,,,pending,,,,,,,,
VSL_SEG_000238,d01291,SIGNER_07,train,standard,69,,,,pending,,,,,,,,
VSL_SEG_000239,d01292,SIGNER_06,train,hard,78,,,,pending,,,,,,,,
VSL_SEG_000240,d01293,SIGNER_01,train,standard,66,,,,pending,,,,,,,,
VSL_SEG_000241,d01294,SIGNER_03,train,standard,72,,,,pending,,,,,,,,
VSL_SEG_000242,d01295,SIGNER_01,train,standard,71,,,,pending,,,,,,,,
VSL_SEG_000243,d01298,SIGNER_08,train,standard,73,,,,pending,,,,,,,,
VSL_SEG_000244,d01299,SIGNER_04,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000245,d01300,SIGNER_01,train,standard,72,,,,pending,,,,,,,,
VSL_SEG_000246,d01301,SIGNER_08,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000247,d01302,SIGNER_01,train,hard,76,,,,pending,,,,,,,,
VSL_SEG_000248,d01303,SIGNER_05,train,standard,73,,,,pending,,,,,,,,
VSL_SEG_000249,d01304,SIGNER_04,train,standard,64,,,,pending,,,,,,,,
VSL_SEG_000250,d01305,SIGNER_02,train,standard,67,,,,pending,,,,,,,,
VSL_SEG_000251,d01306,SIGNER_03,train,hard,78,,,,pending,,,,,,,,
VSL_SEG_000252,d01307,SIGNER_07,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000253,d01308,SIGNER_08,train,standard,62,,,,pending,,,,,,,,
VSL_SEG_000254,d01311,SIGNER_08,train,standard,65,,,,pending,,,,,,,,
VSL_SEG_000255,d01313,SIGNER_08,train,standard,66,,,,pending,,,,,,,,
VSL_SEG_000256,d01314,SIGNER_07,train,standard,68,,,,pending,,,,,,,,
VSL_SEG_000257,d01317,SIGNER_08,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000258,d01318,SIGNER_05,train,standard,63,,,,pending,,,,,,,,
VSL_SEG_000259,d01320,SIGNER_06,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000260,d01321,SIGNER_01,train,standard,57,,,,pending,,,,,,,,
VSL_SEG_000261,d01322,SIGNER_06,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000262,d01323,SIGNER_05,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000263,d01325,SIGNER_03,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000264,d01326,SIGNER_06,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000265,d01327,SIGNER_02,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000266,d01328,SIGNER_04,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000267,d01330,SIGNER_07,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000268,d01334,SIGNER_08,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000269,d01337,SIGNER_03,train,standard,66,,,,pending,,,,,,,,
VSL_SEG_000270,d01339,SIGNER_08,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000271,d01340,SIGNER_01,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000272,d01341,SIGNER_05,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000273,d01343,SIGNER_01,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000274,d01345,SIGNER_02,train,standard,61,,,,pending,,,,,,,,
VSL_SEG_000275,d01346,SIGNER_07,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000276,d01347,SIGNER_08,train,standard,64,,,,pending,,,,,,,,
VSL_SEG_000277,d01350,SIGNER_05,train,hard,83,,,,pending,,,,,,,,
VSL_SEG_000278,d01351,SIGNER_02,train,standard,73,,,,pending,,,,,,,,
VSL_SEG_000279,d01352,SIGNER_07,train,standard,64,,,,pending,,,,,,,,
VSL_SEG_000280,d01353,SIGNER_08,train,hard,79,,,,pending,,,,,,,,
VSL_SEG_000281,d01354,SIGNER_05,train,standard,69,,,,pending,,,,,,,,
VSL_SEG_000282,d01355,SIGNER_05,train,hard,77,,,,pending,,,,,,,,
VSL_SEG_000283,d01356,SIGNER_05,train,hard,77,,,,pending,,,,,,,,
VSL_SEG_000284,d01357,SIGNER_01,train,standard,64,,,,pending,,,,,,,,
VSL_SEG_000285,r2_lichsu_003,SIGNER_08,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000286,r2_lichsu_005,SIGNER_03,train,hard,88,,,,pending,,,,,,,,
VSL_SEG_000287,r2_lichsu_006,SIGNER_03,train,hard,80,,,,pending,,,,,,,,
VSL_SEG_000288,r2_lichsu_008,SIGNER_03,train,standard,53,,,,pending,,,,,,,,
VSL_SEG_000289,r2_lichsu_009,SIGNER_08,train,standard,68,,,,pending,,,,,,,,
VSL_SEG_000290,r2_lichsu_010,SIGNER_05,train,standard,60,,,,pending,,,,,,,,
